County,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/13/2021,01/14/2021,01/15/2021,01/16/2021,01/17/2021,01/18/2021,01/19/2021,01/20/2021,01/21/2021,01/22/2021,01/23/2021,01/24/2021,01/25/2021,01/26/2021,01/27/2021,01/28/2021,01/29/2021,01/30/2021,01/31/2021,02/01/2021,02/02/2021,02/03/2021,02/04/2021,02/05/2021,02/06/2021,02/07/2021,02/08/2021,02/09/2021,02/10/2021,02/11/2021,02/12/2021,02/13/2021,02/14/2021,02/15/2021,02/16/2021,02/17/2021,02/18/2021,02/19/2021,02/20/2021,02/21/2021,02/22/2021,02/23/2021,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021,03/03/2021,03/04/2021,03/05/2021,03/06/2021,03/07/2021,03/08/2021,03/09/2021,03/10/2021,03/11/2021,03/12/2021,03/13/2021,03/14/2021,03/15/2021,03/16/2021,03/17/2021,03/18/2021,03/19/2021,03/20/2021,03/21/2021,03/22/2021,03/23/2021,03/24/2021,03/25/2021,03/26/2021,03/27/2021,03/28/2021,03/29/2021,03/30/2021,03/31/2021,04/01/2021,04/02/2021,04/03/2021,04/04/2021,04/05/2021,04/06/2021,04/07/2021,04/08/2021,04/09/2021,04/10/2021,04/11/2021,04/12/2021,04/13/2021,04/14/2021,04/15/2021,04/16/2021,04/17/2021,04/18/2021,04/19/2021,04/20/2021,04/21/2021,04/22/2021,04/23/2021,04/24/2021,04/25/2021,04/26/2021,04/27/2021,04/28/2021,04/29/2021,04/30/2021,05/01/2021,05/02/2021,05/03/2021,05/04/2021,05/05/2021,05/06/2021,05/07/2021,05/08/2021,05/09/2021,05/10/2021,05/11/2021,05/12/2021,05/13/2021,05/14/2021,05/15/2021,05/16/2021,05/17/2021,05/18/2021,05/19/2021,05/20/2021,05/21/2021,05/22/2021,05/23/2021,05/24/2021,05/25/2021,05/26/2021,05/27/2021,05/28/2021,05/29/2021,05/30/2021,05/31/2021,06/01/2021,06/02/2021,06/03/2021,06/04/2021,06/05/2021,06/06/2021,06/07/2021,06/08/2021,06/09/2021,06/10/2021,06/11/2021,06/12/2021,06/13/2021,06/14/2021,06/15/2021,06/16/2021,06/17/2021,06/18/2021,06/19/2021,06/20/2021,06/21/2021,06/22/2021,06/23/2021,06/24/2021,06/25/2021,06/26/2021,06/27/2021,06/28/2021,06/29/2021,06/30/2021,07/01/2021,07/02/2021,07/03/2021,07/04/2021,07/05/2021,07/06/2021,07/07/2021,07/08/2021,07/09/2021,07/10/2021,07/11/2021,07/12/2021,07/13/2021,07/14/2021,07/15/2021,07/16/2021,07/17/2021,07/18/2021,07/19/2021,07/20/2021,07/21/2021,07/22/2021,07/23/2021,07/24/2021,07/25/2021,07/26/2021,07/27/2021,07/28/2021,07/29/2021,07/30/2021,07/31/2021,08/01/2021,08/02/2021,08/03/2021,08/04/2021,08/05/2021,08/06/2021,08/07/2021,08/08/2021,08/09/2021,08/10/2021,08/11/2021,08/12/2021,08/13/2021,08/14/2021,08/15/2021,08/16/2021,08/17/2021,08/18/2021,08/19/2021,08/20/2021,08/21/2021,08/22/2021,08/23/2021,08/24/2021,08/25/2021,08/26/2021,08/27/2021,08/28/2021,08/29/2021,08/30/2021,08/31/2021,09/01/2021,09/02/2021,09/03/2021,09/04/2021,09/05/2021,09/06/2021,09/07/2021,09/08/2021,09/09/2021,09/10/2021,09/11/2021,09/12/2021,09/13/2021,09/14/2021,09/15/2021,09/16/2021,09/17/2021,09/18/2021,09/19/2021,09/20/2021,09/21/2021,09/22/2021,09/23/2021,09/24/2021,09/25/2021,09/26/2021,09/27/2021,09/28/2021,09/29/2021,09/30/2021,10/01/2021,10/02/2021,10/03/2021,10/04/2021,10/05/2021,10/06/2021,10/07/2021,10/08/2021,10/09/2021,10/10/2021,10/11/2021,10/12/2021,10/13/2021,10/14/2021,10/15/2021,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/2021,10/23/2021,10/24/2021,10/25/2021,10/26/2021,10/27/2021,10/28/2021,10/29/2021,10/30/2021,10/31/2021,11/01/2021,11/02/2021,11/03/2021,11/04/2021,11/05/2021,11/06/2021,11/07/2021,11/08/2021,11/09/2021,11/10/2021,11/11/2021,11/12/2021,11/13/2021,11/14/2021,11/15/2021,11/16/2021,11/17/2021,11/18/2021,11/19/2021,11/20/2021,11/21/2021,11/22/2021,11/23/2021,11/24/2021,11/25/2021,11/26/2021,11/27/2021,11/28/2021,11/29/2021,11/30/2021,12/01/2021,12/02/2021,12/03/2021,12/04/2021,12/05/2021,12/06/2021,12/07/2021,12/08/2021,12/09/2021,12/10/2021,12/11/2021,12/12/2021,12/13/2021,12/14/2021,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021
Runnels,2,0,0,0,22,2,8,5,12,0,0,20,3,1,10,0,0,0,0,20,2,5,6,0,0,11,2,4,1,0,0,0,5,3,0,2,6,0,0,0,5,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,-9,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,0,6,0,3,2,3,0,0,3,0,1,2,3,0,0,2,0,2,3,3,0,0,1,3,1,4,3,0,0,5,0,11,1,0,0,0,5,2,11,1,1,0,0,0,23,1,2,1,0,0,7,0,3,0,1,0,0,2,0,1,0,2,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0
Rusk,3,33,24,6,0,5,4,8,19,20,6,24,9,16,12,12,0,41,26,5,9,16,12,0,0,14,14,4,9,10,0,38,11,9,7,22,11,0,3,13,7,8,1,9,10,11,4,1,3,4,2,3,2,-2,7,6,12,1,10,0,1,3,-2,9,6,0,2,1,2,4,3,6,3,2,6,1,1,1,5,0,1,8,-4,-1,-1,2,0,0,5,0,7,2,0,4,-3,2,0,-1,0,3,3,0,1,-3,1,-1,3,-1,0,6,4,3,1,1,0,1,0,1,2,3,3,0,0,-1,2,1,5,0,0,1,6,0,-1,2,3,0,2,1,0,5,-2,4,1,1,2,2,4,4,5,0,0,0,1,1,1,2,-1,2,2,0,1,-1,5,0,3,2,-2,4,3,44,0,0,-3,0,0,7,-5,0,1,1,-1,1,3,2,0,0,1,1,3,0,1,2,0,7,1,4,34,10,0,0,0,0,9,98,22,10,11,18,28,2,10,28,7,8,5,14,6,5,24,3,9,11,16,33,2,3,21,0,15,23,6,11,39,8,3,8,21,9,8,42,30,0,18,66,39,128,398,37,18,37,23,0,47,38,0,0,30,8,8,21,7,0,0,4,-2,17,67,8,0,0,33,5,-11,149,4,0,0,23,-5,9,10,16,0,0,21,-12,-1,7,-1,0,0,7,10,-4,5,0,2,0,8,-8,0,2,3,0,0,5,-3,4,-4,3,0,0,-16,-4,3,2,-8,0,0,0,2,-4,0,1,0,0,5,-9,0,0,0,0,5,4,3,6,3,2,0,1,4,6,4,2,5,0,2,8,11,5,6,3,1,1,0,1,5,3,3,3,7,3,5,3,2
Sabine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,4,0,1,0,0,0,0,2,2,3,0,0,0,0,1,2,1,0,0,0,0,10,3,0,4,0,0,0,6,1,0,4,0,0,0,0,7,1,1,0,0,0,0,0,0,0,10,0,0,5,0,1,0,0,0,0,5,2,1,0,0,0,0,5,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
San Augustine,4,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,7,0,0,2,0,4,5,0,0,0,1,0,0,0,13,0,3,0,0,0,0,3,0,0,3,0,1,0,0,4,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,8,0,2,0,0,4,0,0,17,0,0,0,3,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
San Jacinto,3,8,19,4,5,6,6,11,3,21,15,14,13,8,6,8,4,14,13,6,8,13,9,0,0,14,7,11,6,16,0,9,8,11,14,22,5,0,10,9,3,7,13,11,7,-1,6,6,1,0,9,6,2,6,1,7,1,3,1,0,4,2,2,1,0,0,2,5,3,3,2,0,4,3,7,0,2,1,5,1,4,2,1,7,4,0,0,1,1,1,4,3,1,1,2,0,1,4,3,3,3,0,2,2,3,0,1,0,1,10,4,2,0,0,3,3,3,5,5,1,1,2,0,5,0,4,0,1,1,8,2,3,0,1,1,3,1,3,3,2,1,0,2,0,3,0,1,3,0,1,0,2,4,-1,0,0,1,1,0,1,2,0,0,0,1,3,-1,0,0,21,2,2,1,1,0,1,1,0,2,0,0,1,1,2,0,0,1,0,0,3,4,3,0,2,1,1,1,4,0,0,3,7,15,3,1,4,2,5,7,9,8,8,13,8,10,13,12,6,16,2,10,18,9,8,19,19,14,1,29,26,12,11,10,21,2,9,19,11,16,15,11,0,10,24,6,24,17,20,7,28,10,23,21,15,0,0,36,16,14,6,15,0,0,24,12,7,7,9,0,0,9,7,4,0,0,0,0,12,2,3,4,8,0,0,6,4,0,4,2,0,0,3,1,1,5,0,5,0,4,-1,2,2,1,0,0,0,2,0,1,4,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,3,7,4,6,2,4,1,1,3,1,3,3,2,3,4,4,6,4,14,4,5,4,4,6,5,36,6,7,3,2,11,3,7
San Patricio,98,0,0,0,0,0,0,0,0,0,0,142,0,0,0,160,0,0,0,0,0,0,141,0,0,0,0,0,0,64,0,0,0,0,0,0,104,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,28,0,0,0,0,0,0,27,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,1,0,0,0,0,5,2,0,0,0,7,2,0,0,0,0,0,9,0,0,0,10,0,0,0,0,2,4,5,0,0,0,0,0,0,27,0,0,22,0,0,0,42,0,0,26,31,0,0,0,0,0,0,0,72,0,33,0,0,115,0,0,79,83,0,0,76,0,0,76,0,0,0,82,0,0,64,0,0,0,0,106,0,123,0,0,0,0,139,0,182,0,0,0,0,72,0,130,0,0,0,78,0,0,40,0,0,0,0,31,0,32,0,0,0,11,0,0,0,18,0,0,0,5,0,5,0,0,0,16,0,0,3,0,0,0,8,0,0,8,0,0,0,22,0,0,30,0,0,0,14,0,0,0,6,0,0,0,9,0,0,17,0,0,6,0,0,0,0,0,0,4,2,4,1,1,0,3,9,1,6,0,5,0,0,0,6,1,0,4,2,2,2,1,1,4,7,4,4,4,5,2,6
San Saba,0,0,0,0,-1,2,4,1,3,0,0,0,1,1,0,1,1,1,0,1,1,5,2,0,0,2,11,0,9,12,1,20,19,6,-2,0,3,0,5,42,-5,-2,-25,0,0,0,2,1,0,0,1,0,0,3,-11,-1,2,0,0,0,-6,-3,-6,1,-1,0,0,-1,0,0,-1,0,0,0,0,1,0,-4,-1,0,0,-1,0,-1,-2,5,0,0,-4,-1,-1,3,0,0,0,-1,-2,-4,-1,1,0,1,0,-4,0,-3,-1,0,0,-1,0,0,1,1,0,0,0,1,-1,-1,0,0,0,1,-2,0,-1,0,0,0,-1,0,2,0,-1,0,0,-1,0,-1,1,-1,0,0,2,-3,2,1,0,0,0,0,-1,0,1,0,0,0,-1,1,0,-1,0,0,0,0,-1,0,0,-3,0,0,0,-1,0,0,3,0,0,0,0,0,-1,0,0,2,0,0,-3,0,-1,0,0,0,-1,2,1,-1,0,0,0,3,0,-1,-1,0,1,2,3,-1,0,5,0,0,-3,2,6,0,1,0,1,0,2,2,0,1,0,6,0,1,1,0,2,0,1,1,2,1,0,3,0,2,0,-3,0,5,1,0,2,1,0,14,0,0,0,0,3,1,2,0,0,0,0,3,1,3,0,1,0,7,1,1,5,1,0,0,8,2,0,0,2,0,0,2,17,30,2,0,0,0,1,0,1,1,0,1,0,0,1,2,0,0,0,0,1,-1,-2,0,0,-11,0,1,0,5,0,2,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Schleicher,0,0,0,0,2,-45,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3,1,1,0,0,1,0,0,0,0,2,0,0,-3,2,0,0,1,-1,1,-1,1,0,1,0,0,-2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,-2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,1,2,2,0,0,-1,2,1,0,1,0,0,2,0,3,0,0,0,0,0,1,0,0,2,0,0,0,6,3,1,3,2,0,0,0,1,2,0,2,0,2,2,1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Scurry,0,0,0,0,140,0,27,35,0,0,0,23,43,10,11,4,0,0,0,38,8,10,10,0,0,14,11,2,11,-1,0,0,34,19,11,4,0,0,0,14,221,235,235,234,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,-1,0,-1,3,0,0,-2,0,1,3,0,1,2,0,0,4,-2,0,0,-3,1,6,11,4,0,0,-1,-1,1,1,13,1,0,27,-2,0,-1,1,0,0,1,3,0,1,0,0,0,0,0,-2,-28,32,2,1,3,1,1,-2,-1,0,1,-1,-2,-1,-1,0,0,0,2,0,0,0,3,0,0,1,3,1,0,0,0,0,-4,2,-4,2,-1,0,0,0,0,0,1,1,0,0,-1,-1,0,-3,6,0,0,-2,0,0,0,4,0,0,-6,1,0,0,0,0,0,2,-1,0,2,1,1,0,1,-1,-1,-1,3,1,1,3,0,0,-2,0,0,0,3,1,0,4,3,3,2,-1,4,4,6,0,8,5,10,0,-1,5,8,0,19,15,13,11,19,2,0,1,38,11,18,5,16,0,0,7,7,8,19,15,16,1,41,12,30,48,20,0,18,11,4,20,24,1,0,14,1,12,13,9,10,0,0,13,10,0,0,8,9,2,-1,6,-1,4,0,2,2,1,4,1,2,3,2,1,3,3,0,1,5,3,3,1,4,0,0,0,1,0,0,-2,6,0,0,0,4,-2,2,1,0,0,0,0,0,0,0,2,147,0,0,0,0,250,0,2,0,6,8,7,0,1,0,0,15,8,14,5,3,2,2,3,4,2,6,5,5,4,0,5,7,1,7,7,0,12,7,10,0,10,15,1,7,3,3,0,20
Shackelford,0,0,0,0,2,0,0,5,2,0,0,4,0,0,0,8,0,0,0,5,0,2,4,0,0,2,0,1,2,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Shelby,3,6,19,-3,2,7,2,12,10,13,6,7,5,3,2,4,5,7,6,0,6,6,14,0,0,13,3,1,6,0,1,7,2,4,4,2,2,0,1,2,1,3,3,5,2,4,0,1,2,0,1,1,1,-1,2,1,4,2,3,2,1,0,1,0,-1,0,0,1,1,0,0,0,0,2,1,3,1,2,0,2,0,-1,0,1,3,0,0,0,0,1,4,0,1,0,3,1,5,2,2,1,0,0,0,1,1,0,0,0,0,6,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,3,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,1,1,0,1,2,1,0,0,2,0,22,0,0,1,5,0,1,-2,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,2,1,1,0,0,1,1,1,3,0,1,2,0,4,4,2,2,6,6,1,8,7,9,6,2,9,9,1,15,7,12,5,3,6,6,2,15,8,14,11,6,0,9,5,7,20,12,6,3,10,5,17,3,5,0,0,18,13,5,3,6,0,0,6,5,3,4,5,0,0,19,2,3,3,7,0,0,6,2,1,3,3,0,0,6,2,1,2,1,0,0,4,0,1,3,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,3,2,0,3,1,2,1,2,2,1,0,2,1,4,2,2,1,4,1,2,2,1,1,2,1,2,2,6,16,3,5
Sherman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Smith,26,0,0,0,174,60,116,0,184,0,0,0,485,0,530,0,108,0,0,139,289,0,19,20,0,0,332,91,160,0,56,0,0,204,0,113,0,0,132,99,0,0,76,0,85,0,0,64,0,44,0,10,0,0,16,0,72,61,0,0,0,42,0,25,0,0,0,26,31,0,19,0,10,0,56,0,0,25,0,0,0,27,45,0,47,0,0,0,0,44,0,30,0,0,0,38,0,0,0,33,0,0,48,0,0,51,0,0,0,0,41,0,47,0,0,0,0,43,0,46,0,0,0,0,38,0,21,0,0,0,18,0,0,34,0,0,0,17,0,0,11,0,0,0,16,0,0,13,0,0,0,0,0,17,13,0,0,0,0,29,0,17,0,0,0,12,0,0,17,0,0,0,10,0,0,0,16,0,0,20,0,0,0,11,0,0,0,0,32,16,0,0,0,35,0,0,52,0,0,0,50,0,0,92,0,0,0,0,136,0,702,0,0,0,208,0,0,259,0,0,0,0,388,0,0,205,0,0,296,0,0,246,0,0,0,252,0,0,293,0,0,0,697,0,0,422,0,0,0,0,491,0,200,0,0,0,397,0,0,714,0,0,0,0,289,0,486,0,0,0,247,0,0,175,0,0,0,153,0,0,114,0,0,0,352,0,0,132,0,0,0,53,0,0,0,0,71,0,93,0,0,46,0,0,0,54,0,0,55,0,0,0,26,0,0,49,0,0,0,0,32,0,0,27,0,0,26,0,0,0,0,0,60,40,7,8,15,20,5,13,17,6,4,10,14,7,22,5,4,11,9,15,18,18,19,7,11,35,30,17,30,25,37,23,15
Somervell,0,0,0,0,15,8,2,3,12,0,0,12,0,8,2,2,0,0,0,26,2,3,7,0,0,3,0,3,3,3,0,0,5,1,4,1,2,0,0,3,0,0,3,1,0,0,0,2,0,0,2,0,0,0,0,3,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,1,0,0,0,2,0,2,0,3,0,0,2,2,4,0,4,0,0,4,0,5,4,2,0,0,7,4,2,2,1,0,0,4,7,6,7,0,0,0,0,0,4,1,0,0,0,6,2,4,6,0,0,0,0,16,5,2,1,0,0,7,2,2,3,2,0,0,2,2,3,0,5,0,0,7,0,4,5,3,0,0,10,0,0,3,3,0,0,11,1,1,4,4,0,0,7,0,1,4,0,0,0,2,0,2,0,3,0,0,2,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,1,1,0,0,0,1,3,5,0,2,0,1,3,1,4,1,1,2,0,1,3,3,0,1,1,2,0
Starr,61,0,53,0,142,25,69,50,13,19,0,108,38,6,54,174,60,0,27,90,23,90,52,75,0,75,9,27,122,81,57,0,80,44,7,30,79,18,0,9,48,8,34,27,20,0,12,15,4,20,12,3,0,7,2,4,7,23,18,0,36,25,1,8,4,20,0,8,2,7,34,10,12,0,7,11,7,4,0,7,0,10,10,8,6,6,2,0,2,0,7,2,2,0,0,2,16,5,4,2,0,0,7,9,3,1,1,3,0,4,8,4,3,0,2,0,0,1,4,5,8,1,0,3,1,0,1,0,3,0,0,14,4,0,4,2,0,6,3,2,1,2,3,0,4,5,0,1,1,0,0,0,3,1,0,5,0,0,9,2,0,4,1,8,0,2,0,2,4,0,2,0,0,3,0,0,3,0,0,0,1,0,3,4,2,0,1,2,1,1,0,1,0,1,1,0,7,9,6,0,0,8,10,20,5,1,0,7,0,9,28,13,17,0,13,20,2,15,24,10,0,37,22,13,14,24,11,0,34,16,3,13,15,12,0,17,20,5,13,42,6,0,32,13,35,12,15,16,0,0,55,16,8,8,6,0,23,22,10,6,29,12,0,14,1,11,14,7,3,0,21,4,2,8,4,6,0,18,7,7,14,4,3,0,3,1,4,3,5,1,0,1,9,1,3,5,6,0,5,1,0,3,1,7,0,14,7,1,3,2,1,0,5,15,4,9,3,3,0,1,9,0,-8,5,0,0,-1,2,-7,0,0,0,13,0,3,7,0,4,2,3,8,17,26,19,27,1,1,16,15,2,7,6,0,5,0,16,1,5,1,7,11,4,10,4,4
